"MRC","Municipalite","Arrondissement","url"
"Abitibi","Amos",NA,"https://amos.quebec/medias/Couche-lavable-formulaire-subvention.pdf"
"Abitibi","Barraute",NA,"https://71748b48-536a-4845-9101-a9011d5929bd.filesusr.com/ugd/f80962_d3288360054f4373a02989af4965cb7a.pdf"
"Abitibi-Ouest","La Sarre",NA,"http://www.ville.lasarre.qc.ca/documents/pages/programme-aide-couches-lavables.pdf"
"Acton","Béthanie",NA,"http://municipalitedebethanie.ca/services-offerts/"
"Antoine-Labelle","Chute-Saint-Philippe",NA,"https://www.chute-saint-philippe.ca/subvention-couches-lavables"
"Antoine-Labelle","Lac-des-Écorces",NA,"https://www.lacdesecorces.ca/subvention-couches-lavables"
"Argenteuil","Brownsburg-Chatham",NA,"https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Argenteuil","Lachute",NA,"https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Argenteuil","Saint-André-d'Argenteuil",NA,"https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Arthabaska","Chesterville",NA,"https://cdn.shopify.com/s/files/1/0370/8531/5131/files/Depliant_couches_lavables.pdf?v=1594734215"
"Arthabaska","Kingsey Falls",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Arthabaska","Tingwick",NA,"https://www.tingwick.ca/articles/subvention-pour-l-utilisation-de-couches-lavables"
"Arthabaska","Victoriaville",NA,"https://www.victoriaville.ca/page/1358/subvention-pour-lutilisation-des-couches-lavables.aspx"
"Avignon","Carleton-sur-Mer",NA,"https://carletonsurmer.com/osons-vert/"
"Beauce-Sartigan","Saint-Georges",NA,"http://www.saint-georges.ca/vivre-a-saint-georges/environnement/couches-lavables/#:~:text=Dans%20le%20cadre%20de%20sa,pour%20les%20couches%20de%20coton.&text=vous%20devez%20faire%20l'achat,coton%20(minimum%2024%20couches)."
"Beauharnois-Salaberry","Beauharnois",NA,"https://ville.beauharnois.qc.ca/subvention-pour-lachat-de-couches-lavables/"
"Beauharnois-Salaberry","Saint-Louis-de-Gonzague",NA,"http://saint-louis-de-gonzague.com/news/couches-lavables/"
"Beauharnois-Salaberry","Saint-Louis-de-Gonzague",NA,"http://saint-louis-de-gonzague.com/news/couches-lavables/"
"Beauharnois-Salaberry","Sainte-Martine",NA,"https://sainte-martine.ca/wp-content/uploads/2021/03/2020-361_couche_produit_sanitaire.pdf"
"Beauharnois-Salaberry","Salaberry-de-Valleyfield",NA,"https://www.ville.valleyfield.qc.ca/couches-lavables"
"Bécancour","Bécancour",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Deschaillons-sur-Saint-Laurent",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/https://www.mrclotbiniere.org/services-aux-citoyens/programmes-et-mesures/couches-reutilisables/"
"Bécancour","Fortierville",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Lemieux",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Manseau",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Parisville",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/https://www.mrclotbiniere.org/services-aux-citoyens/programmes-et-mesures/couches-reutilisables/"
"Bécancour","Saint-Pierre-les-Becquets",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Saint-Sylvère",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Sainte-Cécile-de-Lévrard",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Sainte-Françoise",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Sainte-Françoise",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Sainte-Marie-de-Blandford",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Sainte-Sophie-de-Lévrard",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Bécancour","Wôlinak",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Brome-Missisquoi","Bromont",NA,"https://www.bromont.net/services-aux-citoyens/environnement/subventions-environnementales/demande-de-remboursement-pour-des-couches-lavables/"
"Brome-Missisquoi","Cowansville",NA,"https://www.cowansville.ca/citoyens/environnement/subventions#subvention-pour-lachat-de-couches-lavables"
"Brome-Missisquoi","Farnham",NA,"https://www.ville.farnham.qc.ca/wp-content/uploads/2016/06/Politique-couches.pdf"
"Charlevoix-Est","Baie-Sainte-Catherine",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Clermont",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Clermont",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","La Malbaie",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Mont-Élie",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Notre-Dame-des-Monts",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Sagard",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Saint-Aimé-des-Lacs",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Saint-Irénée",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Saint-Siméon",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Charlevoix-Est","Saint-Siméon",NA,"http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Coaticook","Barnston-Ouest",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docxhttps://www.barnston-ouest.ca/fr/citoyen/familles-aines-et-loisirs.php"
"Coaticook","Coaticook",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docxhttps://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","Compton",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docxhttps://www.compton.ca/fr/citoyen/familles_aines_jeunes.php"
"Coaticook","Dixville",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","East Hereford",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","Martinville",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","Saint-Herménégilde",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docxhttps://www.st-hermenegilde.ca/fr/citoyens/familles-et-aines.php"
"Coaticook","Saint-Malo",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","Saint-Venant-de-Paquette",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","Sainte-Edwidge-de-Clifton",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","Stanstead-Est",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Coaticook","Waterville",NA,"https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Communauté maritime des Îles-de-la-Madeleine","Les Îles-de-la-Madeleine",NA,"https://www.muniles.ca/services-aux-citoyens/familles-et-aines/"
"D'Autray","Berthierville",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","La Visitation-de-l'Île-Dupas",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Lanoraie",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Lavaltrie",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Mandeville",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Barthélemy",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Cléophas-de-Brandon",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Cuthbert",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Didace",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Gabriel",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Gabriel-de-Brandon",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Ignace-de-Loyola",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Saint-Norbert",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Sainte-Élisabeth",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","Sainte-Geneviève-de-Berthier",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"D'Autray","TNO aquatique de la MRC de D'Autray",NA,"http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"Deux-Montagnes","Deux-Montagnes",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/"
"Deux-Montagnes","Kanesatake",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/"
"Deux-Montagnes","Oka",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/https://www.municipalite.oka.qc.ca/nouvelles-programme-d-aide-pour-l-achat-de-couches-lavables/"
"Deux-Montagnes","Pointe-Calumet",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/https://www.pointe-calumet.ca/programmes-et-subventions/#:~:text=Montant%20de%20l'aide%20financi%C3%A8re,minimum%20de%2015%20couches%20lavables."
"Deux-Montagnes","Saint-Eustache",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/https://www.saint-eustache.ca/citoyens-environnement/couches-lavables"
"Deux-Montagnes","Saint-Joseph-du-Lac",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/https://sjdl.qc.ca/services-municipaux/environnement/programmes-de-subvention/"
"Deux-Montagnes","Saint-Placide",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/http://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/?fbclid=IwAR2fh5l0WPx-9M8XrwGKPurHodwUzfbLaFQRvltRilwU08LrziEkWlGORw8"
"Deux-Montagnes","Sainte-Marthe-sur-le-Lac",NA,"https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/http://www.ville.sainte-marthe-sur-le-lac.qc.ca/services-municipaux/environnement/subventions-environnementales/"
"Drummond","Saint-Cyrille-de-Wendover",NA,"https://www.stcyrille.qc.ca/documents/couches-lavables-politique-de-remboursement"
"Jamésie","Matagami",NA,"https://matagami.com/project/programme-de-subvention-couches-lavables/"
"Joliette","Crabtree",NA,"https://crabtree.quebec/wp-content/uploads/2018/04/politique-daide-financiere-pour-lachat-de-couches-lavables-depliant.pdf"
"Joliette","Notre-Dame-des-Prairies",NA,"https://www.notredamedesprairies.com/famille-et-communaute/programmes-de-subvention/#:~:text=C'est%20une%20subvention%20pouvant,un%20geste%20pour%20l'environnement."
"Joliette","Saint-Paul",NA,"https://saintpaul.quebec/services-aux-citoyens/politiques-programmes-soutien/"
"Kamouraska","Saint-Alexandre-de-Kamouraska",NA,"https://www.stalexkamouraska.com/pages/programmes-de-soutien"
"Kamouraska","Saint-Pacôme",NA,"http://www.st-pacome.ca/wp-content/uploads/2020/12/341-R%C3%A8glement-%C3%A9tablissant-un-programme-daide-financi%C3%A8re-pour-lachat-de-couches-lavables.pdf"
"Kamouraska","Saint-Pascal",NA,"https://villesaintpascal.com/wp-content/uploads/2017/05/Formulaire-programme-couches-lavables-%C3%A0-compl%C3%A9ter.pdf"
"Kamouraska","Sainte-Anne-de-la-Pocatière",NA,"https://www.lapocatiere.ca/services-aux-citoyens/programme-et-subventions/programme-de-subvention-a-lachat-de-couches-lavables/"
"L'Assomption","Charlemagne",NA,"https://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96a"
"L'Assomption","L'Assomption",NA,"https://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96ahttps://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96a"
"L'Assomption","L'Épiphanie",NA,"https://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96ahttp://www.lepiphanie.ca/Programme%20subvention%20Couches%20lavables-2019-2.pdf"
"L'Assomption","Repentigny",NA,"https://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96ahttps://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/activites-municipales/couches-lavables-(1).html"
"L'Assomption","Saint-Sulpice",NA,"https://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96a"
"L'Assomption","TNO aquatique de la MRC de L'Assomption",NA,"https://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96a"
"L'Érable","Lyster",NA,"https://lyster.ca/programmes-offerts/achat-de-couches-en-coton/"
"L'Érable","Plessisville",NA,"https://plessisville.quebec/affaires/programme-d-aide-financiere/couches-lavables/"
"L'Érable","Plessisville",NA,"https://plessisville.quebec/affaires/programme-d-aide-financiere/couches-lavables/"
"L'Érable","Plessisville",NA,"https://plessisville.quebec/affaires/programme-d-aide-financiere/couches-lavables/"
"L'Érable","Plessisville",NA,"https://plessisville.quebec/affaires/programme-d-aide-financiere/couches-lavables/"
"L'Érable","Princeville",NA,"https://villedeprinceville.qc.ca/programme-aide-achat-couches-lavables/"
"L'Île-d'Orléans","Saint-François-de-l'Île-d'Orléans",NA,"http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"L'Île-d'Orléans","Saint-Jean-de-l'Île-d'Orléans",NA,"http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"L'Île-d'Orléans","Saint-Laurent-de-l'Île-d'Orléans",NA,"http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"L'Île-d'Orléans","Saint-Pierre-de-l'Île-d'Orléans",NA,"http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"L'Île-d'Orléans","Sainte-Famille-de-l'Île-d'Orléans",NA,"http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"L'Île-d'Orléans","Sainte-Pétronille",NA,"http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"L'Île-d'Orléans","TNO aquatique de la MRC de L'Île-d'Orléans",NA,"http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"La Côte-de-Beaupré","Beaupré",NA,"https://www.villedebeaupre.com/pages/programmes-daide"
"La Côte-de-Beaupré","Boischatel",NA,"https://www.boischatel.ca/citoyens/programmes-aide/"
"La Côte-de-Beaupré","L'Ange-Gardien",NA,"https://langegardien.qc.ca/les-services/environnement/ressources-et-subventions/#couche-lavable"
"La Côte-de-Beaupré","L'Ange-Gardien",NA,"https://langegardien.qc.ca/les-services/environnement/ressources-et-subventions/#couche-lavable"
"La Haute-Yamaska","Granby",NA,"https://granby.ca/fr/subvention-couches-de-coton"
"La Haute-Yamaska","Shefford",NA,"https://cantonshefford.qc.ca/services/citoyen/programme-pour-lachat-de-couches-reutilisables/"
"La Haute-Yamaska","Waterloo",NA,"https://ville.waterloo.qc.ca/subventions-et-aides-financieres/couches-lavables/"
"La Jacques-Cartier","Lac-Delage",NA,"https://www.lacdelage.qc.ca/pages/Environnement"
"La Jacques-Cartier","Saint-Gabriel-de-Valcartier",NA,"http://saint-gabriel-de-valcartier.ca/wp-content/uploads/Formulaire-couches-r%C3%A9utilisables-1.pdf"
"La Jacques-Cartier","Sainte-Brigitte-de-Laval",NA,"https://sbdl.net/formulaire-de-demande-daide-pour-lutilisation-de-couches-lavables/"
"La Jacques-Cartier","Stoneham-et-Tewkesbury",NA,"https://www.villestoneham.com/citoyens/environnement/collectes-et-matieres-residuelles#programmes-et-subventions"
"La Matanie","Matane",NA,"https://www.environnementmatane.ca/environnement/fonds-vert/projets-realises.html"
"La Matapédia","Lac-Matapédia",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Matapédia","Saint-Damase",NA,"https://www.st-damase.qc.ca/programme-couche-lavable/"
"La Matapédia","Saint-Damase",NA,"https://www.st-damase.qc.ca/programme-couche-lavable/"
"La Matapédia","Sayabec",NA,"https://subventioncoucheslavables.com/mixte/pdf/sayabec.pdf"
"La Mitis","Grand-Métis",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","La Rédemption",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Lac-à-la-Croix",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Lac-des-Eaux-Mortes",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Les Hauteurs",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Métis-sur-Mer","MacNider","https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Métis-sur-Mer",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Mont-Joli",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Padoue",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Price",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Saint-Charles-Garnier",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Saint-Donat",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Saint-Donat",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Saint-Gabriel-de-Rimouski",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Saint-Joseph-de-Lepage",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Saint-Octave-de-Métis",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Sainte-Angèle-de-Mérici",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"La Mitis","Sainte-Flavie",NA,"https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
